date, Billions of US $, US $, Annual % Change
31/12/1960,2.037150716,172.599,
31/12/1961,2.025689537,167.165,
31/12/1962,2.379606422,191.2198,
31/12/1963,2.657247327,208.087,
31/12/1964,2.798339769,213.7556,
31/12/1965,2.948325264,219.4823,
31/12/1966,2.876395613,208.5225,
31/12/1967,3.046339295,214.9804,10.0288
31/12/1968,3.271415868,224.749,9.8917
31/12/1969,3.651615453,244.2862,8.3622
31/12/1970,3.956328426,257.7292,4.7135
31/12/1971,4.356633663,276.5059,5.5969
31/12/1972,5.074117545,313.9983,2.4372
31/12/1973,6.242177798,376.7813,3.5593
31/12/1974,7.675408486,452.0569,5.596
31/12/1975,8.984824183,516.6011,7.5582
31/12/1976,9.584323309,537.8101,10.8128
31/12/1977,11.04989674,604.3497,6.0592
31/12/1978,13.23685411,705.1884,2.2327
31/12/1979,15.91213357,825.6499,4.7938
31/12/1980,21.72877006,1097.6777,3.6422
31/12/1981,17.78817172,874.7863,-1.7434
31/12/1982,17.69234136,847.329,8.9574
31/12/1983,16.25146069,758.47,1.3866
31/12/1984,14.82472853,675.0193,6.4184
31/12/1985,14.99128322,666.7158,6.0077
31/12/1986,19.46217532,846.9098,9.2711
31/12/1987,21.76526104,928.5009,-0.325
31/12/1988,25.70529618,1076.0928,11.8752
31/12/1989,26.31422019,1081.9614,2.8462
31/12/1990,30.18010856,1219.4307,3.4118
31/12/1991,32.28538817,1282.5721,7.2161
31/12/1992,33.71106943,1317.33,-2.0977
31/12/1993,31.65547366,1217.4291,-0.7406
31/12/1994,35.60413742,1348.5391,10.588
31/12/1995,39.03028547,1455.9503,-5.4054
31/12/1996,43.16145268,1585.7184,12.3729
31/12/1997,39.14784453,1416.9004,-1.5607
31/12/1998,41.80621938,1491.1398,7.2386
31/12/1999,41.6320276,1464.1488,1.0813
31/12/2000,38.85725134,1348.0498,1.9129
31/12/2001,39.45958122,1350.712,7.32
31/12/2002,42.23683682,1426.9575,3.1214
31/12/2003,52.06405883,1737.0638,5.9612
31/12/2004,59.62602016,1964.0801,4.797
31/12/2005,62.34302265,2026.0259,3.2916
31/12/2006,68.64082548,2200.9661,7.5746
31/12/2007,79.04129487,2501.2224,3.5316
31/12/2008,92.50725778,2889.2209,5.9233
31/12/2009,92.89732038,2863.5967,4.2438
31/12/2010,93.21674666,2835.2178,3.8157
31/12/2011,101.3704743,3041.1458,5.2457
31/12/2012,98.26630662,2907.4492,3.01
31/12/2013,106.8256499,3117.5151,4.5354
31/12/2014,119.1313658,3430.5496,19.0473
31/12/2015,110.4143666,3139.2437,4.3446
31/12/2016,111.572674,3132.9446,0.5212
31/12/2017,118.5405489,3288.5022,5.0579
31/12/2018,127.3411747,3492.6733,3.0656
31/12/2019,128.9199447,3498.574,2.891
31/12/2020,121.3481383,3258.1213,-7.1871
31/12/2021,142.8663292,3795.3801,7.9297
